"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"86","4.61655949","5.763E-5","MEL-1A-R|MT1","110639","4543","MTNR1A","9606",,"MTNR1A","0.21661153","0.0","2","7","4543","false","MTNR1A","13.0","2","0","0","0.59816006","false","0","MTNR1A","6884","0.52173913"
"87","4.95659164","0.0","C23","110771","4691","NCL","9606",,"NCL","0.20175154","0.0","1","8","4691","false","NCL","24.0","1","0","0","0.56037871","false","0","NCL","0","0.0"
"88","4.31752412","0.0","CORS1|CPD4|JBTS1|MORMS|PPI5PIV","121159","56623","INPP5E","9606",,"INPP5E","0.23161422","0.0","1","7","56623","false","INPP5E","72.0","1","0","0","0.63138621","false","0","INPP5E","0","0.0"
"89","4.19533762","0.0","AIE-75|DFNB18|DFNB18A|NY-CO-37|NY-CO-38|PDZ-45|PDZ-73|PDZ-73/NY-CO-38|PDZ73|PDZD7C|ush1cpst","115392","10083","USH1C","9606",,"USH1C","0.23835984","0.0","1","6","10083","false","USH1C","81.0","1","0","0","0.64496249","false","0","USH1C","0","0.0"
"90","4.20377814","0.0","TDRD11|p100","117974","27044","SND1","9606",,"SND1","0.23788125","0.0","1","6","27044","false","SND1","69.0","1","0","0","0.64402465","false","0","SND1","0","0.0"
"91","4.22909968","0.0","LSM16|YJDC|YJEFN2","123144","80153","EDC3","9606","PP844","EDC3","0.23645695","0.0","1","7","80153","false","EDC3","89.0","1","0","0","0.64121115","false","0","EDC3","0","0.0"
"92","4.22909968","0.0","PEPP-2|PEPP2","119982","54477","PLEKHA5","9606",,"PLEKHA5","0.23645695","0.0","1","7","54477","false","PLEKHA5","89.0","1","0","0","0.64121115","false","0","PLEKHA5","0","0.0"
"93","4.31752412","0.0","GYF2|PARK11|PERQ2|PERQ3|TNRC15","117520","26058","GIGYF2","9606",,"GIGYF2","0.23161422","0.0","1","7","26058","false","GIGYF2","72.0","1","0","0","0.63138621","false","0","GIGYF2","0","0.0"
"94","4.12178457","0.0","CAMSAP1L1","116872","23271","CAMSAP2","9606","RP11-93N17.1","CAMSAP2","0.24261336","1.0","2","6","23271","false","CAMSAP2","80.5","2","0","0","0.65313505","false","0","CAMSAP2","0","0.68803419"
"95","4.20377814","0.0","HSP 75|HSP75|HSP90L|TRAP-1","115435","10131","TRAP1","9606",,"TRAP1","0.23788125","0.0","1","6","10131","false","TRAP1","69.0","1","0","0","0.64402465","false","0","TRAP1","0","0.0"
"96","4.20377814","0.0","EBP1|HG4-1|p38-2G4","111075","5036","PA2G4","9606",,"PA2G4","0.23788125","0.0","1","6","5036","false","PA2G4","69.0","1","0","0","0.64402465","false","0","PA2G4","0","0.0"
"97","4.31752412","0.0","CDC25|PPP1R60","107430","995","CDC25C","9606",,"CDC25C","0.23161422","0.0","1","7","995","false","CDC25C","72.0","1","0","0","0.63138621","false","0","CDC25C","0","0.0"
"98","4.22909968","0.0","BOG25|TTP","117194","23677","SH3BP4","9606",,"SH3BP4","0.23645695","0.0","1","7","23677","false","SH3BP4","89.0","1","0","0","0.64121115","false","0","SH3BP4","0","0.0"
"99","4.22909968","0.0","BRCC3|XTP1","120903","55789","DEPDC1B","9606",,"DEPDC1B","0.23645695","0.0","1","7","55789","false","DEPDC1B","89.0","1","0","0","0.64121115","false","0","DEPDC1B","0","0.0"
"100","4.22909968","0.0","AF6","110447","4301","MLLT4","9606",,"MLLT4","0.23645695","0.0","1","7","4301","false","MLLT4","89.0","1","0","0","0.64121115","false","0","MLLT4","0","0.0"
"101","4.22909968","0.0","","126828","144100","PLEKHA7","9606","hCG_2040524","PLEKHA7","0.23645695","0.0","1","7","144100","false","PLEKHA7","89.0","1","0","0","0.64121115","false","0","PLEKHA7","0","0.0"
"102","4.22909968","0.0","HPK38","115171","9833","MELK","9606","RP11-8N6.1","MELK","0.23645695","0.0","1","7","9833","false","MELK","89.0","1","0","0","0.64121115","false","0","MELK","0","0.0"
"103","4.12178457","0.0","NGAP","114848","9462","RASAL2","9606","RP4-593C16.1","RASAL2","0.24261336","1.0","2","6","9462","false","RASAL2","80.5","2","0","0","0.65313505","false","0","RASAL2","0","0.68803419"
"104","3.86053055","4.631E-4","C22orf2|CBY|HS508I15A|PGEA1|PIGEA-14|PIGEA14|arb1","117311","25776","CBY1","9606","RP3-508I15.8","CBY1","0.25903175","0.33333333","3","6","25776","false","CBY1","79.0","3","0","0","0.68216327","false","0","CBY1","83590","0.42522523"
